"ID";"Título";"Tipo";"Data de Conclusão";"Responsável"
"#3666";"Emissão de NFCe em contingência - Implementar tratamento para sistema refazer Xml para Imposto de ICMS (Complemento TK 558988 - Rejeição 382)";"";"23/06/2026";"Rodolfo Caceraghi dos Santos"
"#4939";"PDV - Emissão NFe Contingência - Rejeição 303 - Destinatario nao habilitado a operar na UF - Implementar opção para abortar emissão(inutilizar numeração)";"";"23/06/2026";"Fabio Nobre"
"#7504";"Tratamento automático da rejeição 704 — confirmação/autorização automática de NF-e/NFC-e";"";"16/06/2026";"Fabio Nobre"
"#13925";"Adequar emissão automática de NF-e de devolução do Never Stop para utilizar regras fiscais da devolução de venda da retaguarda";"";"15/06/2026";"Rodolfo Caceraghi dos Santos"
"#14192";"Configuração da Integração com API Organiza";"";"23/06/2026";"maykon.elias"
"#16274";"[Integração PriceEasy] Exportar automaticamente dados de vendas para recomendação de preços";"";"19/06/2026";"Rodolfo Caceraghi dos Santos"
"#17371";"Projeto BI - Inclusão de dados de compras no extrator";"";"16/06/2026";"maykon.elias"
"#17387";"Projeto BI - Coleta saldo de estoque das mercadorias";"";"16/06/2026";"maykon.elias"
"#17768";"[Testes release Alfa 13/04/2026] Gerar NF-e de Complemento de Valor/ICMS (Nota) obrigando o usuário preencher os valores complementares de impostos para todos os itens";"";"23/06/2026";"Julio Andreata"
"#18167";"[Scripts] Ajustar o local do script da procedure [dbo].[PC_EST_SalvarEstoqueSIMP]";"";"23/06/2026";"maykon.elias"
"#18177";"Ajustar SPED Contribuições: Registro M225 e M625 exportando NF-e com CFOP 929";"";"23/06/2026";"Rodolfo Caceraghi dos Santos"
"#18256";"Metaposto - SPED Contribuições: campo Valor Total dos Ajustes arredonda/trunca";"";"23/06/2026";"Fabio Nobre"
"#18260";"MetaPosto: Relatório 308 / não exibe informações de documentos cancelados ao utilizar o status “Todos”";"";"23/06/2026";"maykon.elias"
"#18603";"Validar Rejeição 845 na Emissão de Nota de Débito de Combustível";"";"16/06/2026";"Julio Andreata"
"#18676";"Entrada de mercadoria sem persistir registros na tabela 'FAT_CustosMercadoriaDocumentoFiscal'";"";"16/06/2026";"maykon.elias"
"#18686";"Permitir Vincular Fator de Pontuação BIGDIM em Mercadorias e Subgrupos";"";"23/06/2026";"Rodolfo Caceraghi dos Santos"
"#19214";"Falha na alteração de preço de mercadoria agendada";"";"16/06/2026";"Fabio Nobre"
"#19231";"03 - Tributação IBS/CBS no item: áreas incentivadas e devoluções (v1.40)";"";"16/06/2026";"Ivan Pionelli Junior"
"#19290";"TO NFCe em Homologacao  - Erro 878 - Endereço do site da UF da Consulta por chave de acesso diverge do previsto SEFAZ";"";"16/06/2026";"Fabio Nobre"
"#19566";"Replicar alterações para Master dos cards 18177 e 18256  referentes a Sped Contribuições";"";"16/06/2026";"Paulo A. Lot"
"#19613";"[Ajuste NeverStop] Ajustar Geração de devoluçao automática para não movimentar estoque";"";"23/06/2026";"maykon.elias"
"#19632";"Ajuste de Estoque apresenta NullReferenceException devido à ausência de retorno do Local de Estoque na FN_EST_PegarSaldoMercadorias";"";"16/06/2026";"maykon.elias"
"#19884";"[NT2026.004-US02] Atualização schema XSD NF-e/NFC-e (PL_010d)";"";"19/06/2026";"Paulo A. Lot"
"#19886";"[NT2026.004-US04] Validação de eventos fiscais (PL_Evento)";"";"19/06/2026";"Paulo A. Lot"
"#19887";"[NT2026.004-US05] Consulta cadastro, protocolo, distribuição e inutilização";"";"19/06/2026";"Paulo A. Lot"
"#19947";"Infraestrutura e persistência da integração Organiza";"";"23/06/2026";"maykon.elias"
"#20111";"Projeto BI - Homologação e deploy da API de estoque (US 17387 e 17371)";"";"15/06/2026";"maykon.elias"
"#20517";"Analisar documentação - Integração ANP ( Geração CIOT )";"";"24/06/2026";"Paulo A. Lot"
"#20578";"Ajustes no Cadastro do Parceiro de negócio - Integração Rodobank";"";"23/06/2026";"Rodolfo Caceraghi dos Santos"
"#20581";"Analisar os serviços em execução no servidor: 172.16.63.8";"";"19/06/2026";"Luiz Fernando Rodrigues Pereira"
"#20611";"Diferença de Dados entre FAT_DocumentoFiscal e ChaveAcesso/Xml - Número errado (recorrência TK 561556)";"";"19/06/2026";"Ivan Pionelli Junior"
"#20681";"Ajustar tratamento de versão de distribuição com prefixos alfanuméricos no atualizador automático";"";"01/07/2026";"maykon.elias"
"#20747";"Estrutura de Harness para o Cursor";"";"22/06/2026";"Paulo A. Lot"
"#21133";"Rejeição 225 - Falha no Schema XML da NFe (Elemento: enviNFe/NFe[1]/infNFe/det[26]/prod/vOutro/) - (Recorrência TK 634468)";"";"26/06/2026";"Ivan Pionelli Junior"
"#6500";"EVENTO - Solicitação de apropriação de crédito";"";"02/07/2026";"Ivan Pionelli Junior"
"#7314";"Implementar tratamento para sistema não refazer DataHora das notas pendentes em contingência";"";"02/07/2026";"Fabio Nobre"
"#17769";"Erro ao Realizar entrada de CT-e "" O arquivo referente ao Conhecimento de Transporte Eletrônico selecionado é inválido!""";"";"23/06/2026";"Fabio Nobre"
"#18342";"Divergência de estoque offline entre Relatório 06 (PDV) e 024 (Retaguarda)";"";"23/06/2026";"Ivan Pionelli Junior"
"#19374";"NF-e de Devolução de Compra - Valor do Frete somando a Base do IPI";"";"16/06/2026";"Ivan Pionelli Junior"
"#20211";"Entrada de notas - Valor de Despesas excluído do item não atualiza o total da NF-e";"";"24/06/2026";"Julio Andreata"
"#20298";"CT-e Complementar de Valor referente a modal Aquaviário esta gerando com tipo Rodoviário";"";"23/06/2026";"Rodolfo Caceraghi dos Santos"
"#20584";"01-B - Pacote normativo e vigencia NT v1.36/v1.40 [ Upload Schemas ]";"";"06/07/2026";"Rodolfo Caceraghi dos Santos"
"#20645";"MetaPosto: Cadastro de Parceiro > Consulta Contribuinte / Ao consultar CNPJ retorna ""Não foi possível consultar os dados do contribuinte"" (Situação persiste apenas na Hospedagem Imex)";"";"01/07/2026";"Fabio Nobre"
"#20848";"Valores de notas sendo gravados nulos ao processar a carga";"";"24/06/2026";"Ivan Pionelli Junior"
"#21012";"NFe permanece pendente em loop com erro 104 sem geração de XML e sem registro na SEFAZ";"";"01/07/2026";"Ivan Pionelli Junior"
"#21109";"Nome dinâmico do banco nos testes de integração (pipeline multi-agente)";"";"24/06/2026";"Luiz Fernando Rodrigues Pereira"
"#21774";"Padronizar harness para publicação de US no ADO";"";"06/07/2026";"Paulo A. Lot"
"#20483";"Analisar nova documentação - Price Easy";"";"07/07/2026";"Luiz Fernando Rodrigues Pereira"
"#20831";"Divergência na geração de ICMSST entre NF-e de Entrada e NF-e de Devolução deCompra";"";"07/07/2026";"Rodolfo Caceraghi dos Santos"
"#21132";"Erro ao transmitir NFe em contingência quando Descrição Natureza Operação diverge do cadastro";"";"06/07/2026";"Julio Andreata"
"#21135";"CTe de Substituição - Exceção ao Importar Xml ou Carregar via Manifesto ""Referência de objeto não definida para uma instância de um objeto""";"";"02/07/2026";"Julio Andreata"
"#21414";"Exceção ao Salvar ou Salvar e Processar Aquisição de CT-e de Substituição após correção do TK 661776";"";"02/07/2026";"Ivan Pionelli Junior"
"#21494";"Exceção na geração do SPED Unificado e inconsistências de validação";"";"03/07/2026";"Ivan Pionelli Junior"
"#22296";"PDV/Emissão NFS-e - Código do Erro : E1235 - Mensagem : Falha no esquema XML do DF-e.";"";"08/07/2026";"Ivan Pionelli Junior"
"#22331";"Padronizar testes de e-mail com SMTP headless e corrigir NRE em atualização de preço de mercadoria";"";"08/07/2026";"Luiz Fernando Rodrigues Pereira"