Id,Tag
3416,Reforma Tributária
3666,Cacique
3666,Contingência
3666,Emissão de NFe
4288,NFe/NFCe
4290,Emissão de NFe
4939,Contingência
6499,Reforma Tributária
7314,Contingência
7314,Emissão de NFe
7504,Emissão de NFe
7505,Cacique
7505,Relatórios
8192,Reforma Tributária
8193,Reforma Tributária
8493,Cache
9943,Nota Débito
9943,Reforma Tributária
12228,Nota Débito
12228,Reforma Tributária
12333,Nota Débito
12333,Reforma Tributária
12618,Atualizador automático
12682,Reforma Tributária
12827,Nota Técnica
13111,!BUG
13111,!Reproduce
13122,Contingência
13282,Legado
13344,Ecoposto
13344,Relatórios
13674,Atualizador automático
13789,Legado
13925,Contingência
13998,Atualizador automático
13998,Nota Técnica
14000,B.I
14000,Nota Técnica
14354,Cacique
14354,Prioridade - Suporte
14367,GeradoPorUS
14436,Prioridade Luis S.
14790,Boxter
14846,Cacique
14846,Legado
14847,!BUG
14847,Prioridade Luis S.
14849,!BUG
15052,Nota Técnica
15053,Nota Técnica
15139,Versionamento Sistema
15140,Versionamento Sistema
15206,!Reproduce
15206,Ciapetro
15206,Legado
15215,GeradoPorUS
15221,Legado
15251,Legado
15252,!Reproduce
15304,Legado
15313,Legado
15359,Legado
15480,Prioridade Fiscal
15480,Reforma Tributária
15523,Boxter
15525,Boxter
15557,GeradoPorUS
15564,Legado
15594,Boxter
15671,GeradoPorUS
15676,GeradoPorUS
15727,Legado
15753,!BUG
15753,Cacique
15755,Cacique
15755,Legado
15786,GeradoPorUS
15821,Legado
15824,BR
15831,!BUG
15856,Reforma Tributária
15876,Legado
15924,GeradoPorUS
15970,Legado
16002,Atualizador automático
16040,GeradoPorUS
16061,GeradoPorUS
16071,Nota Técnica
16117,Boxter
16117,DLL Gerada
16147,Legado
16149,Legado
16159,Atualizador automático
16224,Débito Técnico
16225,Débito Técnico
16227,Débito Técnico
16228,Débito Técnico
16290,Reforma Tributária
16306,GeradoPorUS
16315,GeradoPorUS
16315,Prioridade Liberação de Release
16340,GeradoPorUS
16340,Prioridade Luis Sanches
16420,Atualizador automático
16466,Legado
16473,Nota Técnica
16495,Legado
16495,Prioridade - Suporte
16552,Débito Técnico
16554,Débito Técnico
16555,Débito Técnico
16556,Débito Técnico
16556,Observabilidade
16576,Débito Técnico
16621,!BUG
16621,Falha Suporte
16622,Legado
16734,Legado
16743,Prioridade - Suporte
16759,Melhoria
16908,Geração de DLL
16908,Replicação Alfa
16958,Cacique
17004,GeradoPorUS
17046,Teste Automatizado
17047,Teste Automatizado
17048,Teste Automatizado
17049,Teste Automatizado
17050,Teste Automatizado
17051,Teste Automatizado
17052,Teste Automatizado
17053,Teste Automatizado
17054,Teste Automatizado
17182,Entra em vigor em 01/07/2026
17245,!BUG
17248,Legado
17269,Legado
17270,!BUG
17270,Cacique
17272,!BUG
17274,!BUG
17274,Cacique
17324,Débito Técnico
17337,!BUG
17371,B.I
17387,B.I
17410,Nota Técnica
17428,Legado
17759,!BUG
17759,TechLead
17760,Prioridade - Suporte
17768,!BUG
17770,GeradoPorUS
17770,Outra Squad
17804,I.A
17805,I.A
17806,I.A
17807,I.A
17808,I.A
17809,I.A
17810,I.A
17811,I.A
17812,I.A
17813,I.A
17814,I.A
17815,I.A
17816,I.A
17952,Débito Técnico
17952,Melhoria
18037,Legado
3082,Melhoria
4554,Cadastros
4554,Emissão de NFe
14483,Teste Automatizado
15305,!BUG
15877,!BUG
15877,Legado